,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
0,GLOBAL,1,Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']","[3951885, 3095211]",3qQbCzHBycnDpGskqOWY0E,DESVELADO,2023-04-28,86,0.483,0.668,165671,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,0.834,0.19787,160.33958,9,686
1,GLOBAL,2,un x100to,"['Grupo Frontera', 'Bad Bunny']","[847427, 68880737]",6pD0ufEQq0xdHSsRbg9LBK,un x100to,2023-04-17,99,0.228,0.569,194563,0.724,0.0,0.27,-4.076,0.0474,83.118,0.562,0.19732,186.35754,6,745
2,GLOBAL,3,La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']","[67528, 3095211]",2UW7JaomAMuX9pZrjVpHAU,La Bebe (Remix),2023-03-17,99,0.213,0.812,234353,0.479,1.21e-06,0.0756,-5.678,0.333,169.922,0.559,0.0,225.45415,10,938
3,GLOBAL,4,Cupid - Twin Ver.,['FIFTY FIFTY'],[625170],7FbrGaHYVDmfr7KoLIZnQ7,The Beginning: Cupid,2023-02-24,97,0.435,0.783,174253,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,0.726,0.97569,169.0703,8,615
4,GLOBAL,5,Flowers,['Miley Cyrus'],[20667407],4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,2023-03-10,90,0.0632,0.707,200455,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,4.80073,194.65288,8,755
5,GLOBAL,6,Daylight,['David Kushner'],[851803],1odExI7RdWc4BT515LTAwj,Daylight,2023-04-14,96,0.83,0.508,212954,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,2.322,187.57079,8,576
6,GLOBAL,7,Kill Bill,['SZA'],[12436435],1Qrg8KqiBpW07V7PNxwwwL,SOS,2022-12-08,94,0.0521,0.644,153947,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,3.06503,150.1054,5,571
7,GLOBAL,8,TQG,"['KAROL G', 'Shakira']","[35053135, 28941313]",0DWdj2oZMBFSzRsi2Cvfzf,MAÑANA SERÁ BONITO,2023-02-24,96,0.673,0.72,199440,0.63,0.0,0.0936,-3.547,0.277,179.974,0.607,0.0,194.00272,8,868
8,GLOBAL,9,As It Was,['Harry Styles'],[27413682],4Dvkj6JhhA12EX05fT7y2e,Harry's House,2022-05-20,92,0.342,0.52,167303,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.19714,159.7533,7,683
9,GLOBAL,10,Classy 101,"['Feid', 'Young Miko']","[5140012, 502571]",6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,2023-03-31,95,0.145,0.859,195987,0.658,0.0,0.12,-4.79,0.159,100.065,0.672,0.33084,184.64508,11,862
10,GLOBAL,11,PRC,"['Peso Pluma', 'Natanael Cano']","[3095211, 6683002]",2mpoNBkngUEwnaKoBhZ0vl,PRC,2023-01-23,96,0.0965,0.784,184066,0.826,7.09e-05,0.123,-6.34,0.0538,138.078,0.893,0.1971,176.57034,8,835
11,GLOBAL,12,BESO,"['ROSALÍA', 'Rauw Alejandro']","[7228066, 16684722]",609E1JCInJncactoMmkDon,RR,2023-03-24,96,0.736,0.768,194543,0.644,0.000837,0.173,-6.671,0.136,95.05,0.53,0.24413,189.59093,10,837
12,GLOBAL,13,Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']","[2325632, 42171494]",1s7oOCT8vauUh01PbJD6ps,Rave & Roses Ultra,2023-04-27,77,0.429,0.799,239318,0.802,0.00128,0.171,-5.196,0.0371,107.008,0.811,0.0,231.09079,10,1047
13,GLOBAL,14,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']","[4248660, 64515116, 13621908]",2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,2022-12-02,96,0.417,0.715,221520,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,0.0,213.32172,11,903
14,GLOBAL,15,Yandel 150,"['Yandel', 'Feid']","[6880369, 5140012]",4FAKtPVycI4DxoOHC01YqD,Resistencia,2023-01-13,90,0.0492,0.783,216148,0.729,0.000272,0.1,-3.549,0.0691,167.968,0.58,0.08721,204.9161,8,891
15,GLOBAL,16,See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']","[11408972, 4381197]",7KA4W4McWYRpgf0fWsJZWB,Flower Boy,2017-07-21,93,0.371,0.558,180387,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,0.62,0.0,180.38667,7,662
16,GLOBAL,17,Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']","[64515116, 90231961]",4W4fNrZYkobj539TOWsLO2,Starboy (Deluxe),2023-03-14,87,0.227,0.575,232857,0.5,0.0,0.335,-7.594,0.0707,67.033,0.506,0.0,228.04317,7,797
17,GLOBAL,18,El Azul,"['Junior H', 'Peso Pluma']","[7429834, 3095211]",1haJsMtoBhHfvuM7XWuT3W,El Azul,2023-02-10,94,0.226,0.558,187226,0.648,7.76e-06,0.0986,-7.081,0.055,143.876,0.844,0.19828,183.31573,10,843
18,GLOBAL,19,The Planet,['BTS'],[64609868],4IJsVXbSeGPUrgwpVoHmlg,The Planet,2023-05-12,0,0.000482,0.665,178156,0.848,0.0,0.2,-3.619,0.0708,119.986,0.687,0.2322,174.61406,9,704
19,GLOBAL,20,Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']","[2039893, 1212430]",6AQbmUe0Qwf5PZnt4HmTXv,Boy's a liar Pt. 2,2023-02-03,96,0.252,0.696,131013,0.809,0.000128,0.248,-8.254,0.05,132.962,0.857,0.16812,131.01334,9,574
20,GLOBAL,21,Last Night,['Morgan Wallen'],[5817058],7K3BhSpAxZBznislvUMVtn,One Thing At A Time,2023-03-03,89,0.467,0.492,163855,0.675,0.0,0.142,-5.456,0.0389,203.759,0.478,0.0,154.84227,9,517
21,GLOBAL,22,Anti-Hero,['Taylor Swift'],[73925103],0V3wPSX9ygBnCm8psDIegu,Midnights,2022-10-21,94,0.13,0.637,200690,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,0.20322,195.43655,8,784
22,GLOBAL,23,AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']","[6683002, 3095211, 190735]",1lRtH4FszTrwwlK5gTSbXO,AMG,2022-11-24,95,0.152,0.772,174943,0.73,0.000107,0.274,-6.657,0.0972,136.175,0.786,0.08707,170.44028,9,754
23,GLOBAL,24,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']","[25970248, 8188177]",4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),2022-08-26,94,0.00383,0.561,175238,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,0.07478,163.43945,8,722
24,GLOBAL,25,All My Life (feat. J. Cole),"['Lil Durk', 'J. Cole']","[5503136, 20061985]",6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),2023-05-12,0,0.15,0.829,223204,0.436,0.0,0.0954,-8.205,0.327,143.031,0.693,0.33098,206.94785,9,983
25,GLOBAL,26,Like Crazy,['Jimin'],[5207423],3Ua0m0YmEjrMi9XErKcNiR,FACE,2023-03-24,93,0.0025,0.629,212241,0.733,0.0,0.357,-5.445,0.0419,120.001,0.362,0.24408,206.1932,9,790
26,GLOBAL,27,Die For You,['The Weeknd'],[64515116],2LBqCSwhJGcFQeTHMVGwy3,Starboy,2016-11-24,91,0.111,0.586,260253,0.525,0.0,0.134,-7.163,0.0615,133.629,0.508,0.0,245.03438,8,915
27,GLOBAL,28,I Wanna Be Yours,['Arctic Monkeys'],[19789640],5XeFesFbtLpXzIVDNQP22n,AM,2013-09-09,94,0.136,0.464,183956,0.417,0.022,0.0974,-9.345,0.0256,67.528,0.479,0.23855,174.09161,7,485
28,GLOBAL,29,"Shakira: Bzrp Music Sessions, Vol. 53","['Bizarrap', 'Shakira']","[10585553, 28941313]",4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,95,0.274,0.778,218289,0.632,0.0,0.0915,-5.6,0.0493,122.104,0.498,0.42136,208.12045,12,818
29,GLOBAL,30,Por las Noches,['Peso Pluma'],[3095211],2VzCjpKvPB1l1tqLndtAQa,Por las Noches,2021-06-11,92,0.31,0.807,239845,0.595,2.44e-05,0.0735,-7.19,0.0325,92.491,0.392,1.30612,234.64925,11,845
30,GLOBAL,31,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']","[22489018, 915677]",0NZPBYD5qbEWRs3PrGiRkT,Gloria,2023-01-27,86,0.011,0.712,156943,0.463,2.96e-06,0.301,-7.399,0.0797,131.199,0.206,0.0,152.98466,7,585
31,GLOBAL,32,Here With Me,['d4vd'],[1070583],78Sw5GDo6AlGwTwanjXbGh,Here With Me,2022-09-22,94,0.534,0.574,242485,0.469,9.21e-05,0.128,-8.209,0.0254,132.023,0.288,0.0,216.81633,11,700
32,GLOBAL,33,golden hour,['JVKE'],[2280415],5odlY52u43F5BjByhxg7wg,this is what ____ feels like (Vol. 1-4),2022-09-23,90,0.653,0.515,209260,0.593,0.162,0.25,-4.801,0.0322,94.467,0.153,0.23828,203.9873,12,737
33,GLOBAL,34,Until I Found You (with Em Beihold) - Em Beihold Version,"['Stephen Sanchez', 'Em Beihold']","[620957, 335507]",1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (Em Beihold Version),2022-04-22,93,0.777,0.551,176440,0.55,0.0,0.202,-5.339,0.0286,101.19,0.342,0.12209,164.67592,7,644
34,GLOBAL,35,Hey Mor,"['Ozuna', 'Feid']","[36639496, 5140012]",1zsPaEkglFvxjAhrM8yhpr,OzuTochi,2022-10-07,91,0.00302,0.901,196600,0.589,0.000237,0.0992,-6.713,0.289,98.002,0.399,0.10467,191.64009,8,907
35,GLOBAL,36,Angels Like You,['Miley Cyrus'],[20667407],1daDRI9ahBonbWD8YcxOIB,Plastic Hearts,2020-11-27,90,0.0981,0.672,196453,0.642,0.0,0.1,-4.035,0.0313,121.981,0.494,0.22104,190.46169,7,566
36,GLOBAL,37,La Bachata,['Manuel Turizo'],[12088984],3tt9i3Hhzq84dPS8H7iSiJ,2000,2023-03-17,86,0.583,0.835,162638,0.679,1.98e-06,0.218,-5.329,0.0364,124.98,0.85,0.33664,149.3101,7,663
37,GLOBAL,38,Another Love,['Tom Odell'],[3110691],7jtQIBanIiJOMS6RyCx6jZ,Long Way Down,2013-06-17,63,0.717,0.442,244360,0.538,2.95e-05,0.09,-8.55,0.0451,122.758,0.139,0.27991,229.41315,8,742
